Source,Target
1629,42859
447,117847
1629,5360
1764,82078
1628,117847
1764,19400
1628,9896
447,1628
447,32181
447,28092
1628,32181
1628,10995
10995,100774
1764,5360
1764,28092
5241,27484
447,1764
36705,39314
1628,5360
7388,100774
31810,83934
447,9896
447,1629
1764,117847
1629,36554
447,97659
17884,42859
1629,10995
1629,10667
9896,27484
17887,19400
2434,27484
447,74437
27484,83934
1629,17884
1629,82078
447,19400
9896,21067
1764,111667
1764,5241
5360,10667
17887,43537
27484,36554
447,100774
5241,10995
447,43537
17884,17887
1629,36705
447,7388
1629,7388
1628,74437
447,27484
447,12169
1628,43537
9896,51032
5241,82078
1628,10667
1628,42859
447,10995
9896,10667
5241,32181
447,39314
1764,36705
19400,36705
1628,12169
1628,1764
1628,27484
1764,51032
1628,100774
36554,72000
17887,36705
1628,36554
10667,27484
32181,100774
447,36554
9896,19400
17884,36705
1629,12169
1628,39314
17884,27484
5360,9896
1764,9896
5360,111667
1764,107494
5360,51032
1628,2434
1628,1629
17884,82078
1629,27484
10667,117847
9896,83934
9896,107494
1764,21067
447,10667
27484,82078
1628,5241
447,36705
7388,19400
1764,12169
447,5360
57485,83934
1628,7388
5241,9778
447,95725
9896,111667
5241,9896
447,82474
19400,82078
5241,12169
27484,57485
17884,82474
5241,36705
447,82078
1764,32181
7388,74437
1764,83934
1764,10667
447,64514
1628,17887
7388,43537
10995,82078
5241,42859
1628,19400
1764,9778
7388,10995
1628,17884
17884,19400
447,42859
5241,64514
19400,82474
17884,74437
10995,17884
27484,36705
1628,36705
42859,82078
447,5241
36554,42859
1764,82474
447,72000
27484,28092
27484,31810
5241,21067
27484,74437
82078,100774
10995,32181
1629,17887
447,9778
1628,111667
27484,64514
7388,82078
447,17887
1628,82078
17887,39314
9896,82078
27484,95725
5241,36554
19400,97659
447,17884
19400,43537
10995,74437
1629,1764
